주문번호,주문일자,배송일자,배송방식,고객번호,고객이름,고객구분,국가,권역,시/도,시/군/구,제품번호,제품명,분류1,분류2,매출,판매량,할인율,수익,반품여부,수익률
CA-2020-137330,2020-12-09,2020-12-13,일반배송,KB-16585,양은준,기업고객,대한민국,영남,울산광역시,남구,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",사무용품,집기비품,73101.91,7,0.0,19006.4966,No,25.999999999999996
US-2021-156909,2021-07-16,2021-07-18,빠른배송,SF-20065,차보민,개인고객,대한민국,영남,부산광역시,부산진구,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",가구,의자,86467.178,2,0.3,-1235.2454,No,-1.4285714285714286
CA-2019-106320,2019-09-25,2019-09-30,일반배송,EB-13870,박희주,개인고객,대한민국,수도권,서울특별시,송파구,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,가구,책상,1265569.245,3,0.0,291080.92635,No,23.0
CA-2020-121755,2020-01-16,2020-01-20,빠른배송,EH-13945,반종철,개인고객,대한민국,수도권,서울특별시,금천구,OFF-BI-10001634,Wilson Jones Active Use Binders,사무용품,바인더,14111.552,2,0.2,5115.4376,No,36.25000000000001
CA-2020-121755,2020-01-16,2020-01-20,빠른배송,EH-13945,반종철,개인고객,대한민국,수도권,서울특별시,금천구,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,전자제품,컴퓨터소품,109725.555,3,0.0,14264.32215,No,13.0
US-2019-150630,2019-09-17,2019-09-21,일반배송,TB-21520,허춘삼,개인고객,대한민국,수도권,서울특별시,성북구,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",가구,책장,3735575.445,7,0.5,-2017210.7403,No,-54.0
US-2019-150630,2019-09-17,2019-09-21,일반배송,TB-21520,허춘삼,개인고객,대한민국,수도권,서울특별시,성북구,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,사무용품,바인더,11652.207,2,0.7,-8544.9518,No,-73.33333333333334
US-2019-150630,2019-09-17,2019-09-21,일반배송,TB-21520,허춘삼,개인고객,대한민국,수도권,서울특별시,성북구,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",가구,가구소품,150468.3,3,0.2,18808.5375,No,12.5
US-2019-150630,2019-09-17,2019-09-21,일반배송,TB-21520,허춘삼,개인고객,대한민국,수도권,서울특별시,성북구,OFF-EN-10001509,Poly String Tie Envelopes,사무용품,봉투류,3954.336,2,0.2,1334.5884,No,33.75
US-2019-150630,2019-09-17,2019-09-21,일반배송,TB-21520,허춘삼,개인고객,대한민국,수도권,서울특별시,성북구,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",사무용품,필기구,104557.296,6,0.2,11762.6958,No,11.249999999999998
US-2019-150630,2019-09-17,2019-09-21,일반배송,TB-21520,허춘삼,개인고객,대한민국,수도권,서울특별시,성북구,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",사무용품,바인더,8308.467,6,0.7,-6923.7225,No,-83.33333333333333
US-2019-150630,2019-09-17,2019-09-21,일반배송,TB-21520,허춘삼,개인고객,대한민국,수도권,서울특별시,성북구,OFF-AR-10001683,Lumber Crayons,사무용품,필기구,19093.24,2,0.2,4295.979,No,22.5
CA-2021-107727,2021-10-19,2021-10-23,빠른배송,MA-17560,윤소진,홈오피스,대한민국,수도권,서울특별시,은평구,OFF-PA-10000249,Easy-staple paper,사무용품,종이류,35705.328,3,0.2,12050.5482,No,33.75
CA-2020-117590,2020-12-08,2020-12-10,특급배송,GH-14485,백혜슬,기업고객,대한민국,영남,부산광역시,동래구,TEC-PH-10004977,GE 30524EE4,전자제품,전화기,1329674.556,7,0.2,149588.38755,No,11.25
CA-2020-117590,2020-12-08,2020-12-10,특급배송,GH-14485,백혜슬,기업고객,대한민국,영남,부산광역시,동래구,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",가구,가구소품,231299.58,5,0.6,-179257.1745,No,-77.5
CA-2019-117415,2019-12-27,2019-12-31,일반배송,SN-20710,최준모,홈오피스,대한민국,수도권,서울특별시,금천구,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",사무용품,봉투류,137296.872,9,0.2,42905.2725,No,31.25
CA-2019-117415,2019-12-27,2019-12-31,일반배송,SN-20710,최준모,홈오피스,대한민국,수도권,서울특별시,금천구,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",가구,책장,645001.6308,3,0.32,-56911.9086,No,-8.823529411764705
CA-2019-117415,2019-12-27,2019-12-31,일반배송,SN-20710,최준모,홈오피스,대한민국,수도권,서울특별시,금천구,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",가구,의자,256908.267,3,0.3,-18350.5905,No,-7.142857142857142
CA-2019-117415,2019-12-27,2019-12-31,일반배송,SN-20710,최준모,홈오피스,대한민국,수도권,서울특별시,금천구,TEC-PH-10000486,Plantronics HL10 Handset Lifter,전자제품,전화기,449670.032,4,0.2,50587.8785999999,No,11.249999999999979
CA-2021-120999,2021-09-10,2021-09-15,일반배송,LC-16930,우보민,기업고객,대한민국,호남,전라북도,장수군,TEC-PH-10004093,Panasonic Kx-TS550,전자제품,전화기,178294.032,4,0.2,20058.0786,No,11.25
CA-2020-101343,2020-07-17,2020-07-22,일반배송,RA-19885,진미혜,기업고객,대한민국,충청,충청북도,괴산군,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",사무용품,수납제품,94351.62,2,0.0,4717.58099999999,No,4.99999999999999
CA-2021-139619,2021-09-19,2021-09-23,일반배송,ES-14080,배인영,기업고객,대한민국,수도권,경기도,동두천시,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",사무용품,수납제품,115838.784,2,0.2,11583.8784,No,10.0
CA-2020-118255,2020-03-11,2020-03-13,특급배송,ON-18715,전성수,기업고객,대한민국,충청,충청남도,청양군,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",전자제품,컴퓨터소품,55704.77,2,0.0,23953.0511,No,43.00000000000001
CA-2020-118255,2020-03-11,2020-03-13,특급배송,ON-18715,전성수,기업고객,대한민국,충청,충청남도,청양군,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,사무용품,바인더,21152.79,2,0.0,9941.8113,No,47.0
CA-2018-146703,2018-10-20,2018-10-25,빠른배송,PO-18865,정경진,개인고객,대한민국,충청,충청북도,증평군,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",사무용품,수납제품,256789.54,4,0.0,10271.5816,No,3.9999999999999996
CA-2020-169194,2020-06-20,2020-06-25,일반배송,LH-16900,오희창,개인고객,대한민국,수도권,서울특별시,도봉구,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,전자제품,컴퓨터소품,54517.5,3,0.0,5996.925,No,11.0
CA-2020-169194,2020-06-20,2020-06-25,일반배송,LH-16900,오희창,개인고객,대한민국,수도권,서울특별시,도봉구,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",전자제품,전화기,26410.7,2,0.0,7394.996,No,27.999999999999996
CA-2019-115742,2019-04-18,2019-04-22,일반배송,DP-13000,문소영,개인고객,대한민국,호남,전라남도,나주시,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",사무용품,바인더,46303.53,6,0.0,21762.6591,No,47.0
CA-2019-115742,2019-04-18,2019-04-22,일반배송,DP-13000,문소영,개인고객,대한민국,호남,전라남도,나주시,OFF-LA-10002762,Avery 485,사무용품,라벨류,91080.57,6,0.0,42807.8679,No,46.99999999999999
CA-2019-115742,2019-04-18,2019-04-22,일반배송,DP-13000,문소영,개인고객,대한민국,호남,전라남도,나주시,FUR-FU-10001706,Longer-Life Soft White Bulbs,가구,가구소품,7462.84,2,0.0,3582.1632,No,48.0
CA-2019-115742,2019-04-18,2019-04-22,일반배송,DP-13000,문소영,개인고객,대한민국,호남,전라남도,나주시,FUR-CH-10003061,"Global Leather Task Chair, Black",가구,의자,109022.885,1,0.0,20714.34815,No,19.000000000000004
CA-2020-105816,2020-12-11,2020-12-17,일반배송,JM-15265,손소유,기업고객,대한민국,강원,강원도,철원군,OFF-FA-10000304,Advantus Push Pins,사무용품,집게류,18487.49,7,0.0,7579.8709,No,41.0
CA-2020-105816,2020-12-11,2020-12-17,일반배송,JM-15265,손소유,기업고객,대한민국,강원,강원도,철원군,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,전자제품,전화기,1247784.425,5,0.0,361857.48325,No,28.999999999999996
CA-2020-111682,2020-06-17,2020-06-18,특급배송,TB-21055,한민아,개인고객,대한민국,수도권,경기도,의왕시,OFF-ST-10000604,Home/Office Personal File Carts,사무용품,수납제품,252670.44,6,0.0,63167.61,Yes,25.0
CA-2020-111682,2020-06-17,2020-06-18,특급배송,TB-21055,한민아,개인고객,대한민국,수도권,경기도,의왕시,OFF-PA-10001569,Xerox 232,사무용품,종이류,39252.6,5,0.0,18841.248,Yes,48.0
CA-2020-111682,2020-06-17,2020-06-18,특급배송,TB-21055,한민아,개인고객,대한민국,수도권,경기도,의왕시,FUR-CH-10003968,Novimex Turbo Task Chair,가구,의자,386965.215,5,0.1,8599.22700000001,Yes,2.2222222222222245
CA-2020-111682,2020-06-17,2020-06-18,특급배송,TB-21055,한민아,개인고객,대한민국,수도권,경기도,의왕시,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",사무용품,종이류,17639.44,2,0.0,8466.9312,Yes,48.00000000000001
CA-2020-111682,2020-06-17,2020-06-18,특급배송,TB-21055,한민아,개인고객,대한민국,수도권,경기도,의왕시,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,전자제품,컴퓨터소품,36345.0,2,0.0,3997.95,Yes,11.0
CA-2020-111682,2020-06-17,2020-06-18,특급배송,TB-21055,한민아,개인고객,대한민국,수도권,경기도,의왕시,OFF-BI-10001460,Plastic Binding Combs,사무용품,바인더,58733.52,4,0.2,19822.563,Yes,33.75
CA-2020-111682,2020-06-17,2020-06-18,특급배송,TB-21055,한민아,개인고객,대한민국,수도권,경기도,의왕시,OFF-AR-10001868,Prang Dustless Chalk Sticks,사무용품,필기구,2035.32,1,0.0,1017.66,Yes,50.0
CA-2019-135545,2019-11-24,2019-11-30,일반배송,KM-16720,오승리,개인고객,대한민국,수도권,서울특별시,광진구,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",전자제품,컴퓨터소품,16936.77,2,0.0,7452.1788,No,43.99999999999999
CA-2019-135545,2019-11-24,2019-11-30,일반배송,KM-16720,오승리,개인고객,대한민국,수도권,서울특별시,광진구,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",사무용품,바인더,31285.776,6,0.2,11341.0938,No,36.25
CA-2019-135545,2019-11-24,2019-11-30,일반배송,KM-16720,오승리,개인고객,대한민국,수도권,서울특별시,광진구,OFF-PA-10003892,Xerox 1943,사무용품,종이류,177763.395,3,0.0,83548.79565,No,47.0
CA-2019-135545,2019-11-24,2019-11-30,일반배송,KM-16720,오승리,개인고객,대한민국,수도권,서울특별시,광진구,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,가구,가구소품,96629.24,4,0.0,27056.1872,No,27.999999999999996
US-2019-164175,2019-04-30,2019-05-05,일반배송,PS-18970,정연아,홈오피스,대한민국,수도권,서울특별시,광진구,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",가구,의자,258188.8225,5,0.3,-18442.05875,No,-7.142857142857142
CA-2018-106376,2018-12-05,2018-12-10,일반배송,BS-11590,김희준,기업고객,대한민국,수도권,경기도,광명시,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",사무용품,필기구,1348428.576,8,0.2,134842.8576,No,10.0
CA-2018-106376,2018-12-05,2018-12-10,일반배송,BS-11590,김희준,기업고객,대한민국,수도권,경기도,광명시,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,전자제품,전화기,203493.232,4,0.2,76309.962,No,37.5
CA-2020-119823,2020-06-04,2020-06-06,특급배송,KD-16270,안동윤,개인고객,대한민국,충청,세종특별자치시,세종특별자치시,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",사무용품,종이류,91928.62,2,0.0,43206.4514,No,47.0
CA-2020-106075,2020-09-18,2020-09-23,일반배송,HM-14980,성수인,개인고객,대한민국,호남,전라남도,함평군,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,사무용품,바인더,5592.284,1,0.2,2097.1065,No,37.5
CA-2021-114440,2021-09-14,2021-09-17,빠른배송,TB-21520,허춘삼,개인고객,대한민국,수도권,서울특별시,성북구,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",사무용품,종이류,23079.075,3,0.0,10616.3745,No,46.0
US-2019-134026,2019-04-26,2019-05-02,일반배송,JE-15745,송지원,개인고객,대한민국,호남,전라남도,담양군,FUR-CH-10000513,High-Back Leather Manager's Chair,가구,의자,1007890.464,8,0.2,-138584.9388,No,-13.750000000000002
US-2019-134026,2019-04-26,2019-05-02,일반배송,JE-15745,송지원,개인고객,대한민국,호남,전라남도,담양군,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",가구,가구소품,117563.96,2,0.2,1469.5495,No,1.25
US-2019-134026,2019-04-26,2019-05-02,일반배송,JE-15745,송지원,개인고객,대한민국,호남,전라남도,담양군,OFF-ST-10004123,Safco Industrial Wire Shelving System,사무용품,수납제품,88177.816,1,0.2,-22044.454,No,-25.0
US-2021-118038,2021-12-09,2021-12-11,특급배송,KB-16600,양일권,기업고객,대한민국,수도권,경기도,성남시,OFF-BI-10004182,Economy Binders,사무용품,바인더,1511.952,3,0.8,-2343.5256,No,-155.0
US-2021-118038,2021-12-09,2021-12-11,특급배송,KB-16600,양일권,기업고객,대한민국,수도권,경기도,성남시,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",가구,가구소품,11761.242,3,0.6,-7056.7452,No,-60.0
US-2021-118038,2021-12-09,2021-12-11,특급배송,KB-16600,양일권,기업고객,대한민국,수도권,경기도,성남시,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",사무용품,수납제품,33001.26,3,0.2,3300.126,No,10.0
US-2018-147606,2018-11-26,2018-12-01,빠른배송,JE-15745,송지원,개인고객,대한민국,호남,전라남도,담양군,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",가구,가구소품,23381.95,5,0.6,-17536.4625,No,-75.0
CA-2020-127208,2020-06-12,2020-06-15,특급배송,SC-20770,최춘화,기업고객,대한민국,충청,대전광역시,동구,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",사무용품,집기비품,252185.84,1,0.0,68090.1768,No,27.0
CA-2020-127208,2020-06-12,2020-06-15,특급배송,SC-20770,최춘화,기업고객,대한민국,충청,대전광역시,동구,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,사무용품,바인더,20280.51,3,0.0,9734.6448,No,48.00000000000001
CA-2018-139451,2018-10-12,2018-10-16,일반배송,DN-13690,박정호,개인고객,대한민국,수도권,경기도,시흥시,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",사무용품,필기구,18051.35,5,0.0,5054.378,No,28.000000000000004
CA-2018-139451,2018-10-12,2018-10-16,일반배송,DN-13690,박정호,개인고객,대한민국,수도권,경기도,시흥시,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",사무용품,수납제품,25913.985,1,0.0,7515.05565,No,28.999999999999996
CA-2019-149734,2019-09-03,2019-09-08,일반배송,JC-16105,신혜정,기업고객,대한민국,영남,부산광역시,강서구,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,사무용품,봉투류,243492.116,7,0.2,76091.28625,No,31.25
US-2021-119662,2021-11-13,2021-11-16,특급배송,CS-12400,도영희,홈오피스,대한민국,수도권,경기도,부천시,OFF-ST-10003656,Safco Industrial Wire Shelving,사무용품,수납제품,279100.524,3,0.2,-59308.86135,No,-21.250000000000004
CA-2021-140088,2021-05-28,2021-05-30,빠른배송,PO-18865,정경진,개인고객,대한민국,충청,충청북도,증평군,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,가구,의자,365824.54,2,0.0,40240.6994,No,11.0
CA-2021-155558,2021-10-26,2021-11-02,일반배송,PG-18895,정동인,개인고객,대한민국,수도권,서울특별시,성북구,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,전자제품,컴퓨터소품,24217.885,1,0.0,8234.0809,No,34.00000000000001
CA-2021-155558,2021-10-26,2021-11-02,일반배송,PG-18895,정동인,개인고객,대한민국,수도권,서울특별시,성북구,OFF-LA-10000134,Avery 511,사무용품,라벨류,7462.84,2,0.0,3582.1632,No,48.0
CA-2020-159695,2020-04-05,2020-04-10,빠른배송,GM-14455,백하준,홈오피스,대한민국,수도권,서울특별시,성동구,OFF-ST-10003442,Eldon Portable Mobile Manager,사무용품,수납제품,191862.832,7,0.2,16787.9978,No,8.75
CA-2020-109806,2020-09-17,2020-09-22,일반배송,JS-15685,송예경,기업고객,대한민국,충청,대전광역시,서구,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,사무용품,필기구,24351.15,3,0.0,8035.8795,Yes,32.99999999999999
CA-2020-109806,2020-09-17,2020-09-22,일반배송,JS-15685,송예경,기업고객,대한민국,충청,대전광역시,서구,TEC-PH-10004093,Panasonic Kx-TS550,전자제품,전화기,89147.016,2,0.2,10029.0393,Yes,11.25
CA-2020-109806,2020-09-17,2020-09-22,일반배송,JS-15685,송예경,기업고객,대한민국,충청,대전광역시,서구,OFF-PA-10000304,Xerox 1995,사무용품,종이류,7850.52,1,0.0,3768.2496,Yes,48.0
CA-2019-149587,2019-01-31,2019-02-05,빠른배송,KB-16315,안보규,개인고객,대한민국,수도권,서울특별시,성북구,OFF-PA-10003177,Xerox 1999,사무용품,종이류,15701.04,2,0.0,7536.4992,No,48.0
CA-2019-149587,2019-01-31,2019-02-05,빠른배송,KB-16315,안보규,개인고객,대한민국,수도권,서울특별시,성북구,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",가구,가구소품,64621.41,3,0.0,20032.6371,No,31.0
CA-2019-149587,2019-01-31,2019-02-05,빠른배송,KB-16315,안보규,개인고객,대한민국,수도권,서울특별시,성북구,OFF-BI-10002852,Ibico Standard Transparent Covers,사무용품,바인더,39931.04,2,0.0,19566.2096,No,48.99999999999999
US-2021-109484,2021-11-06,2021-11-12,일반배송,RB-19705,주주안,홈오피스,대한민국,수도권,경기도,부천시,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,사무용품,바인더,6883.743,1,0.7,-4589.162,No,-66.66666666666666
CA-2021-161018,2021-11-09,2021-11-11,빠른배송,PN-18775,전용상,홈오피스,대한민국,수도권,서울특별시,관악구,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,가구,가구소품,116946.095,7,0.0,49117.3599,No,42.00000000000001
CA-2021-157833,2021-06-17,2021-06-20,특급배송,KD-16345,안성진,개인고객,대한민국,수도권,서울특별시,광진구,OFF-BI-10001721,Trimflex Flexible Post Binders,사무용품,바인더,62164.488,3,0.2,21757.5708,No,35.0
CA-2020-149223,2020-09-06,2020-09-11,일반배송,ER-13855,박희정,기업고객,대한민국,호남,전라남도,목포시,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,사무용품,집기비품,94351.62,6,0.0,27361.9698,No,28.999999999999996
CA-2020-158568,2020-08-29,2020-09-02,일반배송,RB-19465,조채아,홈오피스,대한민국,제주,제주특별자치도,제주시,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,사무용품,종이류,78291.976,7,0.2,27402.1916,No,35.0
CA-2020-158568,2020-08-29,2020-09-02,일반배송,RB-19465,조채아,홈오피스,대한민국,제주,제주특별자치도,제주시,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,전자제품,컴퓨터소품,116274.924,3,0.2,-13080.92895,No,-11.25
CA-2020-158568,2020-08-29,2020-09-02,일반배송,RB-19465,조채아,홈오피스,대한민국,제주,제주특별자치도,제주시,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,사무용품,바인더,2166.162,3,0.8,-3682.4754,No,-170.0
CA-2020-129903,2020-12-01,2020-12-04,빠른배송,GZ-14470,백현민,개인고객,대한민국,수도권,경기도,연천군,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),사무용품,종이류,28979.08,4,0.0,14199.7492,No,49.0
US-2019-156867,2019-11-13,2019-11-17,일반배송,LC-16870,오혜슬,개인고객,대한민국,수도권,경기도,구리시,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,전자제품,컴퓨터소품,289422.504,6,0.2,-32560.0317,No,-11.249999999999998
US-2019-156867,2019-11-13,2019-11-17,일반배송,LC-16870,오혜슬,개인고객,대한민국,수도권,경기도,구리시,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",가구,가구소품,124009.14,3,0.2,-4650.34275000001,No,-3.750000000000008
US-2019-156867,2019-11-13,2019-11-17,일반배송,LC-16870,오혜슬,개인고객,대한민국,수도권,경기도,구리시,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",사무용품,바인더,44682.543,3,0.7,-31277.7801,No,-70.0
